Price,Close,High,Low,Open,Volume,Close_diff,LogReturn,Volatility
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,
Date,,,,,,,,
2020-09-08,1893.7669677734375,1933.9540061114683,1885.700597919434,1919.9948454738087,2401034,-21.01123046875,-0.011033842436572907,0.018905987519874802
2020-09-09,1911.8321533203125,1926.1777535329138,1891.4970636633318,1893.7672229689915,2776804,18.065185546875,0.009494074739695714,0.018937895970958338
2020-09-10,1986.69970703125,1999.4029753755844,1913.7157016293097,1917.6281912985414,5081252,74.8675537109375,0.03841279847139117,0.020360485428710617
2020-09-11,1966.799072265625,1999.6442649573908,1953.322930080891,1992.9303683268438,2599475,-19.900634765625,-0.01006743846868028,0.020654348502151462
2020-09-14,1962.2105712890625,1984.2362201232122,1936.9004972478288,1980.3720794803237,2142458,-4.5885009765625,-0.0023357046578610656,0.020511031449658584
2020-09-15,1949.0242919921875,1979.937417235339,1940.8129930994753,1975.5419100701424,1997383,-13.186279296875,-0.0067427959289649095,0.02034835593846301
2020-09-16,1943.75927734375,1958.1532244830062,1926.4189937884864,1958.1532244830062,1717740,-5.2650146484375,-0.0027050144273616183,0.02038810376600129
2020-09-17,1939.750244140625,1975.5418938367911,1932.0703118208228,1932.0703118208228,2416918,-4.009033203125,-0.002064645190168739,0.020319223800444288
2020-09-18,1959.5057373046875,1974.9139508990681,1946.560842607714,1957.4770870585246,3021436,19.7554931640625,0.01013304194264003,0.018121007682037383
2020-09-21,1905.5528564453125,1987.1344851486433,1895.650995252909,1967.2341828248532,2518361,-53.952880859375,-0.02792008676442281,0.019296969163338992
2020-09-22,1871.6932373046875,1927.9164398955836,1860.9219210251608,1922.6032461896866,1974860,-33.859619140625,-0.01792868416578933,0.0191530700590475
2020-09-23,1880.4356689453125,1922.409846823099,1862.8055283902765,1874.1080918777952,2732912,8.742431640625,0.004659993129023722,0.018944250768467598
2020-09-24,1853.193603515625,1878.938465196868,1842.953653973946,1875.6056909244326,1906183,-27.2420654296875,-0.014593065829674073,0.01913138629459996
2020-09-25,1860.197265625,1888.5987226865611,1843.1950705299023,1859.8591769065483,1939316,7.003662109375,0.003772115923527064,0.01899465890462465
2020-09-28,1879.51806640625,1891.4969265021389,1864.447940832037,1872.176222452066,1137313,19.32080078125,0.010332857433810197,0.01778621393081651
2020-09-29,1893.3807373046875,1922.3617947470873,1887.6328747483014,1893.4290862367814,1965383,13.8626708984375,0.007348584737404829,0.015179922425051274
2020-09-30,1918.932373046875,1935.9345692317308,1891.6418782460785,1899.3218110291807,2518982,25.5516357421875,0.01340499461829392,0.01489364175612029
